county,registered_voters,per_turnout,not_voted,orourke,per_orourke,abbott,per_abbott,last_updated,winning,margin
STONEWALL,929,0.6081808396124866,364,70,12.39,492,87.08,"Dec 13, 2022, 10:49PM",Greg Abbott,422
SUTTON,2333,0.4980711530218603,1171,178,15.32,970,83.48,"Dec 13, 2022, 10:49PM",Greg Abbott,792
SWISHER,3853,0.4323903451855697,2187,238,14.29,1399,83.97,"Dec 13, 2022, 10:49PM",Greg Abbott,1161
TARRANT,1260870,0.4690158382704006,669502,279423,47.25,303600,51.34,"Dec 13, 2022, 10:49PM",Greg Abbott,24177
TAYLOR,86089,0.45828154584209363,46636,8888,22.53,30030,76.12,"Dec 13, 2022, 10:49PM",Greg Abbott,21142
TERRELL,629,0.6772655007949125,203,94,22.07,326,76.53,"Dec 13, 2022, 10:49PM",Greg Abbott,232
TERRY,6354,0.40761724897702234,3764,377,14.56,2167,83.67,"Dec 13, 2022, 10:49PM",Greg Abbott,1790
THROCKMORTON,1218,0.5476190476190477,551,51,7.65,612,91.75,"Dec 13, 2022, 10:49PM",Greg Abbott,561
TITUS,17740,0.412739571589628,10418,1535,20.96,5701,77.86,"Dec 13, 2022, 10:49PM",Greg Abbott,4166
TOM GREEN,70922,0.44904261019147795,39075,7516,23.6,23873,74.96,"Dec 13, 2022, 10:49PM",Greg Abbott,16357
TRAVIS,886480,0.5199203591733598,425581,334667,72.61,119321,25.89,"Dec 13, 2022, 10:49PM",Beto O'Rourke,215346
TRINITY,11650,0.4584549356223176,6309,825,15.45,4465,83.6,"Dec 13, 2022, 10:49PM",Greg Abbott,3640
TYLER,14510,0.49937973811164715,7264,816,11.26,6343,87.54,"Dec 13, 2022, 10:49PM",Greg Abbott,5527
UPSHUR,28969,0.4925264938382409,14701,1856,13.01,12270,86.0,"Dec 13, 2022, 10:49PM",Greg Abbott,10414
UPTON,2152,0.491635687732342,1094,124,11.72,908,85.82,"Dec 13, 2022, 10:49PM",Greg Abbott,784
UVALDE,17462,0.45504524109494904,9516,3048,38.36,4779,60.14,"Dec 13, 2022, 10:49PM",Greg Abbott,1731
VAL VERDE,29351,0.32397533303805665,19842,3814,40.11,5530,58.16,"Dec 13, 2022, 10:49PM",Greg Abbott,1716
VAN ZANDT,39954,0.5100615708064274,19575,2414,11.85,17773,87.21,"Dec 13, 2022, 10:49PM",Greg Abbott,15359
VICTORIA,56411,0.4482813635638439,31123,6452,25.51,18519,73.23,"Dec 13, 2022, 10:49PM",Greg Abbott,12067
WALKER,36058,0.48227855122302954,18668,4861,27.95,12309,70.78,"Dec 13, 2022, 10:49PM",Greg Abbott,7448
WALLER,37595,0.4443144035111052,20891,5100,30.53,11381,68.13,"Dec 13, 2022, 10:49PM",Greg Abbott,6281
WARD,6914,0.3641886028348279,4396,418,16.6,2065,82.01,"Dec 13, 2022, 10:49PM",Greg Abbott,1647
WASHINGTON,24644,0.5669534166531407,10672,2824,20.21,10965,78.48,"Dec 13, 2022, 10:49PM",Greg Abbott,8141
WEBB,143148,0.3123760024589935,98432,27156,60.73,16409,36.7,"Dec 13, 2022, 10:49PM",Beto O'Rourke,10747
WHARTON,25890,0.469447663190421,13736,2697,22.19,9354,76.96,"Dec 13, 2022, 10:49PM",Greg Abbott,6657
WHEELER,3344,0.5041866028708134,1658,103,6.11,1569,93.06,"Dec 13, 2022, 10:49PM",Greg Abbott,1466
WICHITA,78794,0.4014391958778587,47163,7824,24.74,23328,73.75,"Dec 13, 2022, 10:49PM",Greg Abbott,15504
WILBARGER,8360,0.3770334928229665,5208,517,16.4,2606,82.68,"Dec 13, 2022, 10:49PM",Greg Abbott,2089
WILLACY,11728,0.3274215552523875,7888,2138,55.68,1656,43.12,"Dec 13, 2022, 10:49PM",Beto O'Rourke,482
WILLIAMSON,415096,0.5433755083161486,189543,110242,48.88,111488,49.43,"Dec 13, 2022, 10:49PM",Greg Abbott,1246
WILSON,37022,0.5257954729620226,17556,4317,22.18,14952,76.81,"Dec 13, 2022, 10:49PM",Greg Abbott,10635
WINKLER,3984,0.33157630522088355,2663,177,13.4,1130,85.54,"Dec 13, 2022, 10:49PM",Greg Abbott,953
WISE,49888,0.517579377806286,24067,3538,13.7,21979,85.12,"Dec 13, 2022, 10:49PM",Greg Abbott,18441
WOOD,32804,0.5539873186196805,14631,2331,12.83,15678,86.27,"Dec 13, 2022, 10:49PM",Greg Abbott,13347
YOAKUM,4264,0.38367729831144465,2628,190,11.61,1427,87.22,"Dec 13, 2022, 10:49PM",Greg Abbott,1237
YOUNG,11884,0.5212049814877145,5690,630,10.17,5498,88.76,"Dec 13, 2022, 10:49PM",Greg Abbott,4868
ZAPATA,7886,0.436596500126807,4443,1585,46.04,1817,52.77,"Dec 13, 2022, 10:49PM",Greg Abbott,232
ZAVALA,7817,0.3134194703850582,5367,1642,67.02,780,31.84,"Dec 13, 2022, 10:49PM",Beto O'Rourke,862
